C	Month	Day	Hour	Minute	DOY	TOD	DEC	zm	hc	z0	umean	h	ol	sigmav	ustar	wind_dir	Incident Solar
								2	0.4	0.06	2.81524	3000	33.3135	0.468591	0.309083	280.743	
								2	0.4	0.06	2.3848	3000	19.3476	0.385993	0.240305	287.857	
								2	0.4	0.06	2.12308	3000	15.656	0.331664	0.203028	279.742	
								2	0.4	0.06	2.12962	3000	14.7184	0.323403	0.202224	279.097	
								2	0.4	0.06	1.91028	3000	12.1444	0.428549	0.186438	289.614	
								2	0.4	0.06	1.71917	3000	3.66933	0.239506	0.116913	323.839	
								2	0.4	0.06	1.51698	3000	2.49425	0.197889	0.0913337	320.853	
								2	0.4	0.06	0.734013	3000	116.165	0.340461	0.147571	242.378	
								2	0.4	0.06	1.16797	3000	-2.84893	0.190928	0.0470883	287.431	
								2	0.4	0.06	1.24967	3000	-0.897158	0.337853	0.018777	305.111	
								2	0.4	0.06	1.18758	3000	1.46646	0.160575	0.0412778	286.092	
								2	0.4	0.06	0.814181	3000	4.88567	0.276026	0.0502842	312.034	
								2	0.4	0.06	0.255964	3000	-11.1847	0.251064	-9999	17.8833	
								2	0.4	0.06	0.275839	3000	5.68256	0.20638	0.0786497	150.97	
								2	0.4	0.06	0.640622	3000	-2.2469	0.181841	0.0572669	139.35	
								2	0.4	0.06	0.1084	3000	-3.63748	0.208793	-9999	154.417	
								2	0.4	0.06	0.510714	3000	-0.477579	0.232471	0.0246493	242.22	
								2	0.4	0.06	0.267814	3000	-1.68566	0.277111	0.0436929	188.402	
								2	0.4	0.06	0.367304	3000	-3.06181	0.202726	0.0792598	212.59	
								2	0.4	0.06	0.399963	3000	-11.3004	0.30941	0.140099	348.052	
								2	0.4	0.06	2.07677	3000	-114.956	0.64049	0.32672	6.19383	
								2	0.4	0.06	2.83652	3000	-122.5	0.788554	0.437566	7.50904	
								2	0.4	0.06	3.23233	3000	-89.57	0.854273	0.428638	12.0697	
								2	0.4	0.06	3.23418	3000	-91.3789	0.990587	0.441166	9.59592	
								2	0.4	0.06	3.21676	3000	-78.2923	0.953029	0.418501	7.05542	
								2	0.4	0.06	2.95244	3000	-53.6454	1.00139	0.410249	2.9588	
								2	0.4	0.06	2.54604	3000	-48.5183	0.881708	0.376091	1.39941	
								2	0.4	0.06	2.89829	3000	-57.0038	0.97404	0.400694	6.17471	
								2	0.4	0.06	2.16463	3000	-42.6006	1.00432	0.368817	5.77046	
								2	0.4	0.06	1.79022	3000	-21.2463	0.996356	0.285831	17.7463	
								2	0.4	0.06	1.4629	3000	-17.7064	0.761689	0.249171	7.99167	
								2	0.4	0.06	1.73116	3000	-35.9418	1.04254	0.235478	355.909	
								2	0.4	0.06	1.66582	3000	-36.5363	0.688669	0.291381	10.4525	
								2	0.4	0.06	0.727138	3000	-22.0111	0.7006	0.211691	350.401	
								2	0.4	0.06	0.729942	3000	-17.9478	0.693377	0.18821	55.3652	
